Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,0.001431242,0.028936308,0.017582473,0.00793555,0.053572593,0.072322993,0.057974213,-0.051460024,0.046917945,0.026469536,0.037570041,0.002294153,-0.002924127,-0.029894396,0.011189931,0.013190726,0.006916145,0.000861339,0.010249846,0.004491464,0.011737576,0.042361655,0.033012231,0.004998378,0.029134955,0.288896568,0.380236167,0.350304291,0.525362089,0.145443905,0.095579368,0.445960783,0.689472336,1.170651674,0.6358639,0.817756923,1.449657916,0.879517143,1.068967663,0.983399364,1.188503919,1.735320125,1.468703051,1.450782455,0.87952834,0.616341785,0.753549134,0.543244142,0.407859895,0.414118154,0.355308724,0.316668222
Bulgaria,BGR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.019387274,0.510803242,0.400946215,0.369274005,1.086887367,0.476002813,0.886541779,4.460890047,3.57471418,6.008428853,7.56080762,5.731626859,5.515194615,9.916258528,11.74623865,13.72047901,22.90387835,31.22753188,18.89976381,7.490157326,3.63054819,3.64377871,3.293739964,3.561261162,1.913300244,4.371782627,2.758177704,3.38441835,2.730245935,3.236476947,4.681573552,2.766354745,5.4620082,3.962897186
Bahrain,BHR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,0.446702736,0.01055483,0.120097432,0.202944976,0.032678748,1.011006776,5.356565673,-11.96498801,0.105246886,0.686479041,1.509189664,3.168103206,2.440284199,-0.919539657,-0.930904199,5.275135765,4.116712853,1.907788943,11.80082637,16.07885314,-4.650768788,3.28947938,6.473839058,29.52007284,4.561096662,2.552219113,6.026960183,4.011545582,0.895243944,2.261808944,4.665543678,6.580210025,6.566594458,15.75086501,8.08243219,6.977577827,1.12105291,0.581105357,2.610260386,4.832654365,11.02113061,4.36728984,0.199529633,0.718174283,3.833008912,4.180793087,2.3283798,2.849732281,4.356625979,4.180190897,14.8429848
"Bahamas, The",BHS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,14.88785911,9.532612469,15.3037739,15.24072142,22.68184693,2.948674925,2.273789129,4.403927069,-0.132148006,0.842252953,0.307047106,2.41149667,0.17740607,-0.346260388,-0.240066631,-1.301331551,-0.533872599,0.39793664,1.302388303,0.829523187,-0.536955148,-0.041785058,0.009649405,0.882923674,0.724148512,3.117526976,2.432806872,3.316299136,2.149791753,1.943031311,3.098507145,1.230729649,1.720383373,2.144284895,3.021438297,5.727971168,6.947601367,6.718093412,8.171729024,6.651599485,8.636992163,6.619575093,4.908128428,3.676984936,2.289731539,0.651786982,3.323939655,2.489131654,3.895152818,3.704839403,4.364240523,3.369409346,4.041548296,2.248885553
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.621086401,3.772320186,2.62359146,2.042804259,3.979797534,4.49216829,8.758860397,5.558444017,6.575773589,11.67376419,5.257486278,0.786371182,2.584024491,2.529527381,2.275398813,1.723379382,2.935902623,2.335293029,1.829756975,2.77975919,2.937813584,2.186613775,2.389390484,3.242308168,3.470413489,3.76226208
Belarus,BLR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108140832,0.070321438,0.105205276,0.708145893,2.488219611,1.334966767,3.657860508,0.932731787,0.775405865,1.693057054,0.963790821,0.707817258,1.014892645,0.966130137,3.991764945,3.601356614,3.688584963,2.434656004,6.480319977,2.228180192,2.973881363,2.362560245,2.92676157,2.612756432,2.332193606,2.376265379,1.976863176,2.270099645,1.766406879,2.177450119,2.772307663
Belize,BLZ,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,13.29211489,5.653859645,,,,,,,1.467351431,-0.032938076,,-0.767018217,,,-1.274324092,1.287852419,1.476725522,1.845863649,3.32186499,3.797597231,3.143562094,2.277675431,2.240574506,1.222022979,1.990094523,2.570050668,1.948639596,1.368788642,1.89887036,5.865683579,2.59589533,5.21613991,2.04564953,-0.834651673,7.959179524,8.604255461,6.83961566,8.222935813,9.757228678,6.445963069,5.524997255,5.218714605,10.17080804,4.53807556,6.598715321,2.695753581,1.461182528,1.404563187,5.321776821,3.932095704,3.730220697,5.184585867,4.949870644,0.52293169
Bermuda,BMU,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.613742304,1.514015181,0.863305111,0.399400153,0.61948391,0.56892819,0.621040123,0.684549233,0.642956565,-1.435058594,9.120047167,2.457444723,-1.062917926,3.356840803,-4.084882161,0.74651445,0.849151218,-0.053405783,-2.150326914,-1.061083159,-4.033835397,1.320463261,0.059134468,6.918947479,0.681739689,0.263172619,0.263826965
Bolivia,BOL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.962986251,0.175169014,1.259958126,0.364039245,2.105030219,2.56024772,-0.296339656,-0.037162633,0.30584293,0.775967188,1.056094338,1.310033088,0.555318407,0.129294216,0.113464978,0.185967742,0.252564571,0.876273749,-0.219679273,-0.517390531,0.558798941,0.973188205,1.649577695,2.158787923,2.176812386,5.847960416,6.409399225,9.218070401,11.17152807,12.19664624,8.768309973,8.668605694,8.557893506,2.442343967,0.745772609,-2.498868245,2.451687561,2.791853857,3.072610748,2.439678146,3.165428676,3.584422514,3.913550146,5.706622119,1.989824857,1.68072788,0.988080149,1.899493281,0.750524781,-0.529735011,-3.083516483,1.444277611,0.014172287,0.650691261
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.925399504,0.918767247,0.787030229,1.412451076,1.100145985,1.007712209,1.015218821,1.039445031,1.001604534,1.092897634,0.804992589,0.97668674,1.072557546,0.848375851,0.846341839,0.683327514,0.134512965,0.412991261,0.910738735,0.273855966,0.212693159,0.322011744,0.627986229,0.350808565,0.584731354,0.63158602,1.475965411,2.150453059,3.340888093,4.733770227,5.033916805,4.147593774,3.253580613,1.813400524,2.713531663,1.733893546,1.753125703,3.190826013,2.990609469,1.888482241,3.730012883,3.915180114,3.754962856,3.041509016,3.57135267,3.592149318,4.137378039,3.338259817,4.078588214,3.692673213,2.592637953,2.779790849,3.822196153,2.954793452
