Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belize,BLZ,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,110.85153,118.5701872,121.5693285,125.7004944,130.818456,141.2464728,126.8923073,117.8577844,115.3276305,115.8877976,109.9320761,106.5010297,103.2275042,105.0135755,104.6515014,102.6347345,106.8078186,108.3307618,111.7447055,112.4691081,114.1952914,115.2469662,114.6900478,111.8983866,108.4106513,105.9266903,106.4453572,101.2500721,99.83990531,102.6008353,100,95.36932218,96.98073082,95.4869165,96.44208703,102.855003,105.0073787,104.8433537,103.5555346,103.984286,104.3984151,101.9507178,104.8513312,105.0571443
Bermuda,BMU,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,174.0869967,221.286158,239.4078001,223.5641414,295.46505,503.0070889,147.5608887,139.8560983,133.6189872,128.8197645,106.3358442,110.5328154,108.6859836,107.5767868,102.6167514,99.85528247,104.4528996,106.7463568,111.6263585,114.9449063,113.0953975,111.128288,109.5137147,98.57640218,92.14165575,87.06805187,85.4978287,86.66784823,97.22884073,105.9530924,100,102.284843,106.6562421,112.2699693,120.1285689,137.6285187,143.455809,140.7576505,144.1285974,150.7762948,158.994052,152.4468903,151.1330771,148.81103
Brazil,BRA,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,84.30841832,98.02204395,106.3273499,81.54356688,72.8332836,70.39302672,67.3766398,69.88419255,69.71698971,93.73783577,114.6114022,96.26576325,84.45436282,88.8050003,92.74191016,101.504519,107.0694103,109.841202,106.7618642,70.97308855,76.52810308,63.90774216,60.90349068,57.57679299,60.44654032,73.46359635,81.71698295,87.42965896,90.35584537,89.17476177,100,103.1661672,91.98717623,86.41072639,84.59199327,69.61118571,73.23783853,79.73183297,71.41901589,70.00810494,55.58592689,53.79172365,60.36162951,63.33384736
Barbados,BRB,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,203.0955447,177.4442946,174.5437222,179.0609533,168.7562658,179.916732,188.7898034,174.3771699,160.94861,154.0590481,155.7859598,144.3014801,141.4873457,132.8041898,83.17921189,98.29162173,100.0528614,96.51118713,94.25695079,90.17147209,87.31764061,89.19988439,91.15357939,97.18704789,94.21830245,93.36867284,96.73780277,97.72107223,104.3859141,106.6291162,100,98.41061368,97.44716825,105.1908986,119.8690464,112.6436751,118.7590087,122.6401116,126.0087009,125.2480921,127.914104,130.7023142,125.7908634,128.5506165
Canada,CAN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,93.97677636,92.33602886,96.95532419,103.4844642,108.0889925,106.0543246,102.2979683,92.5729125,92.71433354,97.96916579,104.9622338,103.7451492,106.6841302,97.83751008,91.46437401,83.55654337,80.83121441,81.6733547,80.88929821,76.18752465,75.26107812,75.62984664,73.40812317,72.76703847,80.95557635,85.44272136,90.5387125,95.53468983,98.59470353,95.98591317,91.57477557,100,101.5629726,101.0739042,97.49941011,91.51772936,83.26626248,81.70902431,82.92687776,82.42555995,81.71486941,80.8428807,84.76084003,84.18458,81.25310007
